#N	EVALS{+}	VIOL	E/I	HV	MTM	iLOC	IM	DIVFS	INTFS	RDC
648	6120{6120}	(0)	9	3758.9(1)	125	1	82	0	9	0
649	6120{6120}	(0)	9	3789.22(1)	125	0	82	0	9	0
649	6150{6150}	(0)	9	3789.22(1)	126	1	82	0	9	0
650	6150{6150}	(0)	9	3819.57(1)	126	0	82	0	9	0
650	6151{6151}	(0)	9	3819.57(1)	127	1	83	0	9	0
651	6151{6151}	(0)	9	3849.95(1)	127	0	83	0	9	0
651	6156{6156}	(0)	9	3849.95(1)	127	1	83	0	9	0
652	6156{6156}	(0)	9	3849.95(2)	127	0	83	0	9	0
652	6156{6156}	(0)	9	3849.95(2)	127	1	83	0	9	0
653	6156{6156}	(0)	9	3849.95(3)	127	0	83	0	9	0
653	6156{6156}	(0)	9	3849.95(3)	127	1	83	0	9	0
654	6156{6156}	(0)	9	3849.95(4)	127	0	83	0	9	0
654	6156{6156}	(0)	9	3849.95(4)	127	1	83	0	9	0
655	6156{6156}	(0)	9	3849.95(5)	127	0	83	0	9	0
655	6156{6156}	(0)	9	3849.95(5)	127	1	83	0	9	0
656	6156{6156}	(0)	9	3849.95(6)	127	0	83	0	9	0
656	6156{6156}	(0)	9	3849.95(6)	127	1	83	0	9	0
657	6156{6156}	(0)	9	3849.95(7)	127	0	83	0	9	0
657	6156{6156}	(0)	9	3849.95(7)	127	1	83	0	9	0
658	6156{6156}	(0)	9	3849.95(8)	127	0	83	0	9	0
658	6156{6156}	(0)	9	3849.95(8)	127	1	83	0	9	0
659	6156{6156}	(0)	9	3849.95(9)	127	0	83	0	9	0
659	6156{6156}	(0)	9	3849.95(9)	127	1	83	0	9	0
660	6156{6156}	(0)	9	3849.95(10)	127	0	83	0	9	0
660	6158{6158}	(0)	9	3849.95(10)	127	1	83	0	9	0
661	6158{6158}	(0)	9	3849.95(11)	127	0	83	0	9	0
661	6158{6158}	(0)	9	3849.95(11)	127	1	83	0	9	0
662	6158{6158}	(0)	9	3849.95(12)	127	0	83	0	9	0
662	6158{6158}	(0)	9	3849.95(12)	127	1	83	0	9	0
663	6158{6158}	(0)	9	3849.95(13)	127	1	83	0	9	0
663	6188{6188}	(0)	9	3849.95(13)	127	2	83	0	9	0
664	6188{6188}	(0)	9	3849.95(14)	127	2	83	0	9	0
664	6217{6217}	(0)	9	3849.95(14)	127	3	83	0	9	0
665	6217{6217}	(0)	9	3849.95(15)	127	3	83	0	9	0
665	6248{6248}	(0)	9	3849.95(15)	127	4	83	0	9	0
666	6248{6248}	(0)	9	3849.95(16)	127	4	83	0	9	0
666	6278{6278}	(0)	9	3849.95(16)	127	5	83	0	9	0
667	6278{6278}	(0)	9	3849.95(17)	127	5	83	0	9	0
667	6306{6306}	(0)	9	3849.95(17)	127	6	83	0	9	0
668	6306{6306}	(0)	9	3849.95(18)	127	6	83	0	9	0
668	6336{6336}	(0)	9	3849.95(18)	127	7	83	0	9	0
669	6336{6336}	(0)	9	3849.95(19)	127	7	83	0	9	0
669	6368{6368}	(0)	9	3849.95(19)	127	8	83	0	9	0
670	6368{6368}	(0)	9	3849.95(20)	127	8	83	0	9	0
670	6401{6401}	(0)	9	3849.95(20)	127	9	83	0	9	0
671	6401{6401}	(0)	9	3849.95(21)	127	9	83	0	9	0
671	6434{6434}	(0)	9	3849.95(21)	127	10	83	0	9	0
671	6434{6434}	(0)	9	3849.95(21)	127	11	82	0	10	0
672	6434{6434}	(0)	9	3849.95(22)	127	0	82	0	10	0
672	6434{6434}	(0)	9	3849.95(22)	127	1	82	0	10	0
673	6434{6434}	(0)	9	3849.95(23)	127	0	82	0	10	0
673	6434{6434}	(0)	9	3849.95(23)	127	1	82	0	10	0
674	6434{6434}	(0)	9	3849.95(24)	127	0	82	0	10	0
674	6443{6443}	(0)	9	3849.95(24)	127	1	82	0	10	0
675	6443{6443}	(0)	9	3849.95(25)	127	0	82	0	10	0
675	6443{6443}	(0)	9	3849.95(25)	127	1	82	0	10	0
676	6443{6443}	(0)	9	3849.95(26)	127	0	82	0	10	0
676	6452{6452}	(0)	9	3849.95(26)	127	1	82	0	10	0
677	6452{6452}	(0)	9	3849.95(27)	127	0	82	0	10	0
677	6452{6452}	(0)	9	3849.95(27)	127	1	82	0	10	0
678	6452{6452}	(0)	9	3849.95(28)	127	0	82	0	10	0
678	6461{6461}	(0)	9	3849.95(28)	127	1	82	0	10	0
679	6461{6461}	(0)	9	3849.95(29)	127	0	82	0	10	0
679	6461{6461}	(0)	9	3849.95(29)	127	1	82	0	10	0
680	6461{6461}	(0)	9	3849.95(30)	127	0	82	0	10	0
680	6461{6461}	(0)	9	3849.95(30)	127	1	82	0	10	0
681	6461{6461}	(0)	9	3849.95(31)	127	0	82	0	10	0
681	6461{6461}	(0)	9	3849.95(31)	127	1	82	0	10	0
682	6461{6461}	(0)	9	3849.95(32)	127	0	82	0	10	0
682	6461{6461}	(0)	9	3849.95(32)	127	1	82	0	10	0
683	6461{6461}	(0)	9	3849.95(33)	127	0	82	0	10	0
683	6461{6461}	(0)	9	3849.95(33)	127	1	82	0	10	0
684	6461{6461}	(0)	9	3849.95(34)	127	0	82	0	10	0
684	6461{6461}	(0)	9	3849.95(34)	127	1	82	0	10	0
685	6461{6461}	(0)	9	3849.95(35)	127	0	82	0	10	0
685	6461{6461}	(0)	9	3849.95(35)	127	1	82	0	10	0
686	6461{6461}	(0)	9	3849.95(36)	127	0	82	0	10	0
686	6470{6470}	(0)	9	3849.95(36)	127	1	82	0	10	0
687	6470{6470}	(0)	9	3849.95(37)	127	0	82	0	10	0
687	6470{6470}	(0)	9	3849.95(37)	127	1	82	0	10	0
688	6470{6470}	(0)	9	3849.95(38)	127	0	82	0	10	0
688	6470{6470}	(0)	9	3849.95(38)	127	1	82	0	10	0
689	6470{6470}	(0)	9	3849.95(39)	127	0	82	0	10	0
689	6470{6470}	(0)	9	3849.95(39)	127	1	82	0	10	0
690	6470{6470}	(0)	9	3849.95(40)	127	0	82	0	10	0
690	6470{6470}	(0)	9	3849.95(40)	127	1	82	0	10	0
691	6470{6470}	(0)	9	3849.95(41)	127	0	82	0	10	0
691	6470{6470}	(0)	9	3849.95(41)	127	1	82	0	10	0
692	6470{6470}	(0)	9	3849.95(42)	127	0	82	0	10	0
692	6470{6470}	(0)	9	3849.95(42)	127	1	82	0	10	0
693	6470{6470}	(0)	9	3849.95(43)	127	0	82	0	10	0
693	6470{6470}	(0)	9	3849.95(43)	127	1	82	0	10	0
694	6470{6470}	(0)	9	3849.95(44)	127	0	82	0	10	0
694	6470{6470}	(0)	9	3849.95(44)	127	1	82	0	10	0
695	6470{6470}	(0)	9	3849.95(45)	127	0	82	0	10	0
695	6478{6478}	(0)	9	3849.95(45)	127	1	82	0	10	0
696	6478{6478}	(0)	9	3849.95(46)	127	0	82	0	10	0
696	6478{6478}	(0)	9	3849.95(46)	127	1	82	0	10	0
697	6478{6478}	(0)	9	3849.95(47)	127	0	82	0	10	0
697	6478{6478}	(0)	9	3849.95(47)	127	1	82	0	10	0
698	6478{6478}	(0)	9	3849.95(48)	127	1	82	0	10	0
698	6506{6506}	(0)	9	3849.95(48)	127	2	82	0	10	0
699	6506{6506}	(0)	9	3849.95(49)	127	2	82	0	10	0
699	6537{6537}	(0)	9	3849.95(49)	127	3	82	0	10	0
700	6537{6537}	(0)	9	3849.95(50)	127	3	82	0	10	0
700	6568{6568}	(0)	9	3849.95(50)	127	4	82	0	10	0
701	6568{6568}	(0)	9	3849.95(51)	127	4	82	0	10	0
701	6599{6599}	(0)	9	3849.95(51)	127	5	82	0	10	0
702	6599{6599}	(0)	9	3849.95(52)	127	5	82	0	10	0
702	6632{6632}	(0)	9	3849.95(52)	127	6	82	0	10	0
703	6632{6632}	(0)	9	3849.95(53)	127	6	82	0	10	0
703	6665{6665}	(0)	9	3849.95(53)	127	7	82	0	10	0
704	6665{6665}	(0)	9	3849.95(54)	127	7	82	0	10	0
704	6697{6697}	(0)	9	3849.95(54)	127	8	82	0	10	0
705	6697{6697}	(0)	9	3849.95(55)	127	8	82	0	10	0
705	6726{6726}	(0)	9	3849.95(55)	127	9	82	0	10	0
706	6726{6726}	(0)	9	3849.95(56)	127	9	82	0	10	0
706	6755{6755}	(0)	9	3849.95(56)	127	10	82	0	10	0
706	6755{6755}	(0)	9	3849.95(56)	127	11	81	0	11	0
707	6755{6755}	(0)	9	3849.95(57)	127	0	81	0	11	0
707	6761{6761}	(0)	9	3849.95(57)	128	1	81	0	11	0
708	6761{6761}	(0)	9	3880.24(1)	128	0	81	0	11	0
708	6761{6761}	(0)	9	3880.24(1)	128	1	82	0	11	0
709	6761{6761}	(0)	9	3880.24(2)	128	0	82	0	11	0
709	6765{6765}	(0)	9	3880.24(2)	128	1	82	0	11	0
710	6765{6765}	(0)	9	3880.24(3)	128	0	82	0	11	0
710	6766{6766}	(0)	9	3880.24(3)	129	1	83	0	11	0
711	6766{6766}	(0)	9	3910.49(1)	129	0	83	0	11	0
711	6772{6772}	(0)	9	3910.49(1)	130	1	83	0	11	0
712	6772{6772}	(0)	9	3940.72(1)	130	0	83	0	11	0
712	6773{6773}	(0)	9	3940.72(1)	131	1	84	0	11	0
713	6773{6773}	(0)	9	3970.95(1)	131	0	84	0	11	0
713	6779{6779}	(0)	9	3970.95(1)	132	1	84	0	11	0
714	6779{6779}	(0)	9	4001.18(1)	132	0	84	0	11	0
714	6780{6780}	(0)	9	4001.18(1)	133	1	85	0	11	0
715	6780{6780}	(0)	9	4031.42(1)	133	0	85	0	11	0
715	6786{6786}	(0)	9	4031.42(1)	134	1	85	0	11	0
716	6786{6786}	(0)	9	4061.65(1)	134	0	85	0	11	0
716	6787{6787}	(0)	9	4061.65(1)	135	1	86	0	11	0
717	6787{6787}	(0)	9	4091.9(1)	135	0	86	0	11	0
717	6793{6793}	(0)	9	4091.9(1)	136	1	86	0	11	0
718	6793{6793}	(0)	9	4122.16(1)	136	0	86	0	11	0
718	6794{6794}	(0)	9	4122.16(1)	137	1	87	0	11	0
719	6794{6794}	(0)	9	4152.44(1)	137	0	87	0	11	0
719	6806{6806}	(0)	9	4152.44(1)	138	1	87	0	11	0
720	6806{6806}	(0)	9	4182.73(1)	138	0	87	0	11	0
720	6807{6807}	(0)	9	4182.73(1)	139	1	88	0	11	0
721	6807{6807}	(0)	9	4213.06(1)	139	0	88	0	11	0
721	6819{6819}	(0)	9	4213.06(1)	140	1	88	0	11	0
722	6819{6819}	(0)	9	4243.4(1)	140	0	88	0	11	0
722	6820{6820}	(0)	9	4243.4(1)	141	1	89	0	11	0
723	6820{6820}	(0)	9	4273.78(1)	141	0	89	0	11	0
723	6825{6825}	(0)	9	4273.78(1)	141	1	89	0	11	0
724	6825{6825}	(0)	9	4273.78(2)	141	0	89	0	11	0
724	6825{6825}	(0)	9	4273.78(2)	141	1	89	0	11	0
725	6825{6825}	(0)	9	4273.78(3)	141	0	89	0	11	0
725	6825{6825}	(0)	9	4273.78(3)	141	1	89	0	11	0
726	6825{6825}	(0)	9	4273.78(4)	141	0	89	0	11	0
726	6825{6825}	(0)	9	4273.78(4)	141	1	89	0	11	0
727	6825{6825}	(0)	9	4273.78(5)	141	0	89	0	11	0
727	6825{6825}	(0)	9	4273.78(5)	141	1	89	0	11	0
728	6825{6825}	(0)	9	4273.78(6)	141	0	89	0	11	0
728	6825{6825}	(0)	9	4273.78(6)	141	1	89	0	11	0
729	6825{6825}	(0)	9	4273.78(7)	141	0	89	0	11	0
729	6825{6825}	(0)	9	4273.78(7)	141	1	89	0	11	0
730	6825{6825}	(0)	9	4273.78(8)	141	0	89	0	11	0
730	6825{6825}	(0)	9	4273.78(8)	141	1	89	0	11	0
731	6825{6825}	(0)	9	4273.78(9)	141	0	89	0	11	0
731	6825{6825}	(0)	9	4273.78(9)	141	1	89	0	11	0
732	6825{6825}	(0)	9	4273.78(10)	141	0	89	0	11	0
732	6829{6829}	(0)	9	4273.78(10)	142	1	89	0	11	0
733	6829{6829}	(0)	9	4304.02(1)	142	0	89	0	11	0
733	6829{6829}	(0)	9	4304.02(1)	142	1	90	0	11	0
734	6829{6829}	(0)	9	4304.02(2)	142	0	90	0	11	0
734	6846{6846}	(0)	9	4304.02(2)	142	1	90	0	11	0
735	6846{6846}	(0)	9	4304.02(3)	142	0	90	0	11	0
735	6846{6846}	(0)	9	4304.02(3)	142	1	91	0	11	0
736	6846{6846}	(0)	9	4304.02(4)	142	0	91	0	11	0
736	6851{6851}	(0)	9	4304.02(4)	142	1	91	0	11	0
737	6851{6851}	(0)	9	4304.02(5)	142	0	91	0	11	0
737	6851{6851}	(0)	9	4304.02(5)	142	1	92	0	11	0
738	6851{6851}	(0)	9	4304.02(6)	142	0	92	0	11	0
738	6852{6852}	(0)	9	4304.02(6)	142	1	92	0	11	0
739	6852{6852}	(0)	9	4304.02(7)	142	0	92	0	11	0
739	6852{6852}	(0)	9	4304.02(7)	142	1	92	0	11	0
740	6852{6852}	(0)	9	4304.02(8)	142	0	92	0	11	0
740	6852{6852}	(0)	9	4304.02(8)	142	1	92	0	11	0
741	6852{6852}	(0)	9	4304.02(9)	142	0	92	0	11	0
741	6852{6852}	(0)	9	4304.02(9)	142	1	92	0	11	0
742	6852{6852}	(0)	9	4304.02(10)	142	0	92	0	11	0
742	6852{6852}	(0)	9	4304.02(10)	142	1	92	0	11	0
743	6852{6852}	(0)	9	4304.02(11)	142	0	92	0	11	0
743	6852{6852}	(0)	9	4304.02(11)	142	1	92	0	11	0
744	6852{6852}	(0)	9	4304.02(12)	142	0	92	0	11	0
744	6852{6852}	(0)	9	4304.02(12)	142	1	92	0	11	0
745	6852{6852}	(0)	9	4304.02(13)	142	0	92	0	11	0
745	6852{6852}	(0)	9	4304.02(13)	142	1	92	0	11	0
746	6852{6852}	(0)	9	4304.02(14)	142	0	92	0	11	0
746	6853{6853}	(0)	9	4304.02(14)	142	1	92	0	11	0
747	6853{6853}	(0)	9	4304.02(15)	142	0	92	0	11	0
747	6853{6853}	(0)	9	4304.02(15)	142	1	92	0	11	0
748	6853{6853}	(0)	9	4304.02(16)	142	0	92	0	11	0
748	6853{6853}	(0)	9	4304.02(16)	142	1	92	0	11	0
749	6853{6853}	(0)	9	4304.02(17)	142	1	92	0	11	0
749	6883{6883}	(0)	9	4304.02(17)	142	2	92	0	11	0
750	6883{6883}	(0)	9	4304.02(18)	142	2	92	0	11	0
750	6914{6914}	(0)	9	4304.02(18)	142	3	92	0	11	0
751	6914{6914}	(0)	9	4304.02(19)	142	3	92	0	11	0
751	6942{6942}	(0)	9	4304.02(19)	142	4	92	0	11	0
752	6942{6942}	(0)	9	4304.02(20)	142	4	92	0	11	0
752	6971{6971}	(0)	9	4304.02(20)	142	5	92	0	11	0
753	6971{6971}	(0)	9	4304.02(21)	142	5	92	0	11	0
753	6999{6999}	(0)	9	4304.02(21)	142	6	92	0	11	0
754	6999{6999}	(0)	9	4304.02(22)	142	6	92	0	11	0
754	7030{7030}	(0)	9	4304.02(22)	142	7	92	0	11	0
755	7030{7030}	(0)	9	4304.02(23)	142	7	92	0	11	0
755	7061{7061}	(0)	9	4304.02(23)	142	8	92	0	11	0
756	7061{7061}	(0)	9	4304.02(24)	142	8	92	0	11	0
756	7093{7093}	(0)	9	4304.02(24)	142	9	92	0	11	0
757	7093{7093}	(0)	9	4304.02(25)	142	9	92	0	11	0
757	7123{7123}	(0)	9	4304.02(25)	142	10	92	0	11	0
757	7123{7123}	(0)	9	4304.02(25)	142	11	91	0	12	0
758	7123{7123}	(0)	9	4304.02(26)	142	11	91	0	12	0
758	7128{7128}	(0)	9	4304.02(26)	143	12	88	0	12	0
759	7128{7128}	(0)	9	4334.26(1)	143	0	88	0	12	0
759	7141{7141}	(0)	9	4334.26(1)	144	1	99	0	12	0
760	7141{7141}	(0)	9	4364.49(1)	144	0	99	0	12	0
760	7142{7142}	(0)	9	4364.49(1)	145	1	100	0	12	0
761	7142{7142}	(0)	9	4394.71(1)	145	0	100	0	12	0
761	7148{7148}	(0)	9	4394.71(1)	146	1	100	0	12	0
762	7148{7148}	(0)	9	4424.94(1)	146	0	100	0	12	0
762	7149{7149}	(0)	9	4424.94(1)	147	1	101	0	12	0
763	7149{7149}	(0)	9	4455.15(1)	147	0	101	0	12	0
763	7155{7155}	(0)	9	4455.15(1)	148	1	101	0	12	0
764	7155{7155}	(0)	9	4485.39(1)	148	0	101	0	12	0
764	7156{7156}	(0)	9	4485.39(1)	149	1	102	0	12	0
765	7156{7156}	(0)	9	4515.61(1)	149	0	102	0	12	0
765	7162{7162}	(0)	9	4515.61(1)	150	1	102	0	12	0
766	7162{7162}	(0)	9	4545.86(1)	150	0	102	0	12	0
766	7163{7163}	(0)	9	4545.86(1)	151	1	103	0	12	0
767	7163{7163}	(0)	9	4576.11(1)	151	0	103	0	12	0
767	7175{7175}	(0)	9	4576.11(1)	152	1	104	0	12	0
768	7175{7175}	(0)	9	4606.38(1)	152	0	104	0	12	0
768	7181{7181}	(0)	9	4606.38(1)	152	1	109	0	12	0
769	7181{7181}	(0)	9	4606.4(1)	152	0	109	0	12	0
769	7181{7181}	(0)	9	4606.4(1)	152	1	109	0	12	0
770	7181{7181}	(0)	9	4606.4(2)	152	0	109	0	12	0
770	7199{7199}	(0)	9	4606.4(2)	152	1	109	0	12	0
771	7199{7199}	(0)	9	4606.41(1)	152	0	109	0	12	0
771	7199{7199}	(0)	9	4606.41(1)	152	1	109	0	12	0
772	7199{7199}	(0)	9	4606.41(2)	152	0	109	0	12	0
772	7205{7205}	(0)	9	4606.41(2)	152	1	109	0	12	0
773	7205{7205}	(0)	9	4606.42(1)	152	0	109	0	12	0
773	7206{7206}	(0)	9	4606.42(1)	153	1	110	0	12	0
774	7206{7206}	(0)	9	4636.66(1)	153	0	110	0	12	0
774	7212{7212}	(0)	9	4636.66(1)	153	1	110	0	12	0
775	7212{7212}	(0)	9	4636.67(1)	153	0	110	0	12	0
775	7213{7213}	(0)	9	4636.67(1)	153	1	111	0	12	0
776	7213{7213}	(0)	9	4636.69(1)	153	0	88	0	12	0
776	7219{7219}	(0)	9	4636.69(1)	154	1	88	0	12	0
777	7219{7219}	(0)	9	4666.96(1)	154	0	88	0	12	0
777	7220{7220}	(0)	9	4666.96(1)	155	1	89	0	12	0
778	7220{7220}	(0)	9	4697.26(1)	155	0	88	0	12	0
778	7226{7226}	(0)	9	4697.26(1)	156	1	88	0	12	0
779	7226{7226}	(0)	9	4727.58(1)	156	0	88	0	12	0
779	7227{7227}	(0)	9	4727.58(1)	157	1	89	0	12	0
780	7227{7227}	(0)	9	4757.92(1)	157	0	89	0	12	0
780	7233{7233}	(0)	9	4757.92(1)	158	1	89	0	12	0
781	7233{7233}	(0)	9	4788.3(1)	158	0	89	0	12	0
781	7234{7234}	(0)	9	4788.3(1)	159	1	90	0	12	0
782	7234{7234}	(0)	9	4818.71(1)	159	0	90	0	12	0
782	7264{7264}	(0)	9	4818.71(1)	160	1	90	0	12	0
783	7264{7264}	(0)	9	4849.09(1)	160	0	90	0	12	0
783	7264{7264}	(0)	9	4849.09(1)	160	1	90	0	12	0
784	7264{7264}	(0)	9	4849.09(2)	160	0	90	0	12	0
784	7288{7288}	(0)	9	4849.09(2)	160	1	90	0	12	0
785	7288{7288}	(0)	9	4849.09(3)	160	1	90	0	12	0
785	7319{7319}	(0)	9	4849.09(3)	160	2	92	0	12	0
786	7319{7319}	(0)	9	4849.09(4)	160	2	92	0	12	0
786	7350{7350}	(0)	9	4849.09(4)	160	3	92	0	12	0
787	7350{7350}	(0)	9	4849.09(5)	160	3	92	0	12	0
787	7381{7381}	(0)	9	4849.09(5)	160	4	93	0	12	0
788	7381{7381}	(0)	9	4849.09(6)	160	4	93	0	12	0
788	7399{7399}	(0)	9	4849.09(6)	161	5	93	0	12	0
789	7399{7399}	(0)	9	4879.33(1)	161	0	93	0	12	0
789	7400{7400}	(0)	9	4879.33(1)	162	1	94	0	12	0
790	7400{7400}	(0)	9	4909.56(1)	162	0	94	0	12	0
790	7406{7406}	(0)	9	4909.56(1)	163	1	94	0	12	0
791	7406{7406}	(0)	9	4939.77(1)	163	0	94	0	12	0
791	7407{7407}	(0)	9	4939.77(1)	164	1	95	0	12	0
792	7407{7407}	(0)	9	4969.98(1)	164	0	95	0	12	0
792	7413{7413}	(0)	9	4969.98(1)	165	1	95	0	12	0
793	7413{7413}	(0)	9	5000.18(1)	165	0	95	0	12	0
793	7414{7414}	(0)	9	5000.18(1)	166	1	96	0	12	0
794	7414{7414}	(0)	9	5030.38(1)	166	0	96	0	12	0
794	7432{7432}	(0)	9	5030.38(1)	167	1	97	0	12	0
795	7432{7432}	(0)	9	5060.6(1)	167	0	97	0	12	0
795	7438{7438}	(0)	9	5060.6(1)	167	1	102	0	12	0
796	7438{7438}	(0)	9	5060.62(1)	167	0	102	0	12	0
796	7439{7439}	(0)	9	5060.62(1)	167	1	103	0	12	0
797	7439{7439}	(0)	9	5060.63(1)	167	0	102	0	12	0
797	7451{7451}	(0)	9	5060.63(1)	167	1	102	0	12	0
798	7451{7451}	(0)	9	5060.65(1)	167	0	102	0	12	0
798	7452{7452}	(0)	9	5060.65(1)	167	1	103	0	12	0
799	7452{7452}	(0)	9	5060.66(1)	167	0	102	0	12	0
799	7470{7470}	(0)	9	5060.66(1)	167	1	102	0	12	0
800	7470{7470}	(0)	9	5060.68(1)	167	0	102	0	12	0
800	7482{7482}	(0)	9	5060.68(1)	167	1	113	0	12	0
801	7482{7482}	(0)	9	5060.71(1)	167	0	113	0	12	0
801	7483{7483}	(0)	9	5060.71(1)	168	1	114	0	12	0
802	7483{7483}	(0)	9	5091.01(1)	168	0	114	0	12	0
802	7501{7501}	(0)	9	5091.01(1)	169	1	114	0	12	0
803	7501{7501}	(0)	9	5121.28(1)	169	0	114	0	12	0
803	7502{7502}	(0)	9	5121.28(1)	170	1	115	0	12	0
804	7502{7502}	(0)	9	5151.54(1)	170	0	103	0	12	0
804	7520{7520}	(0)	9	5151.54(1)	170	1	103	0	12	0
805	7520{7520}	(0)	9	5151.55(1)	170	0	103	0	12	0
805	7521{7521}	(0)	9	5151.55(1)	170	1	104	0	12	0
806	7521{7521}	(0)	9	5151.57(1)	170	0	103	0	12	0
806	7539{7539}	(0)	9	5151.57(1)	170	1	103	0	12	0
807	7539{7539}	(0)	9	5151.58(1)	170	0	103	0	12	0
807	7540{7540}	(0)	9	5151.58(1)	170	1	104	0	12	0
808	7540{7540}	(0)	9	5151.6(1)	170	0	98	0	12	0
808	7570{7570}	(0)	9	5151.6(1)	170	1	98	0	12	0
809	7570{7570}	(0)	9	5151.62(1)	170	0	98	0	12	0
809	7571{7571}	(0)	9	5151.62(1)	171	1	99	0	12	0
810	7571{7571}	(0)	9	5181.86(1)	171	0	99	0	12	0
810	7601{7601}	(0)	9	5181.86(1)	172	1	99	0	12	0
811	7601{7601}	(0)	9	5212.11(1)	172	0	99	0	12	0
811	7602{7602}	(0)	9	5212.11(1)	173	1	100	0	12	0
812	7602{7602}	(0)	9	5242.37(1)	173	0	94	0	12	0
812	7620{7620}	(0)	9	5242.37(1)	173	1	94	0	12	0
813	7620{7620}	(0)	9	5242.38(1)	173	0	94	0	12	0
813	7621{7621}	(0)	9	5242.38(1)	174	1	95	0	12	0
814	7621{7621}	(0)	9	5272.68(1)	174	0	95	0	12	0
814	7651{7651}	(0)	9	5272.68(1)	175	1	95	0	12	0
815	7651{7651}	(0)	9	5303(1)	175	0	95	0	12	0
815	7652{7652}	(0)	9	5303(1)	176	1	96	0	12	0
816	7652{7652}	(0)	9	5333.34(1)	176	0	96	0	12	0
816	7670{7670}	(0)	9	5333.34(1)	177	1	96	0	12	0
817	7670{7670}	(0)	9	5363.72(1)	177	0	96	0	12	0
817	7670{7670}	(0)	9	5363.72(1)	177	1	96	0	12	0
818	7670{7670}	(0)	9	5363.72(2)	177	0	96	0	12	0
818	7670{7670}	(0)	9	5363.72(2)	177	1	96	0	12	0
819	7670{7670}	(0)	9	5363.72(3)	177	0	96	0	12	0
819	7670{7670}	(0)	9	5363.72(3)	177	1	96	0	12	0
820	7670{7670}	(0)	9	5363.72(4)	177	0	96	0	12	0
820	7670{7670}	(0)	9	5363.72(4)	177	1	96	0	12	0
821	7670{7670}	(0)	9	5363.72(5)	177	0	96	0	12	0
821	7670{7670}	(0)	9	5363.72(5)	177	1	96	0	12	0
822	7670{7670}	(0)	9	5363.72(6)	177	0	96	0	12	0
822	7670{7670}	(0)	9	5363.72(6)	177	1	96	0	12	0
823	7670{7670}	(0)	9	5363.72(7)	177	0	96	0	12	0
823	7670{7670}	(0)	9	5363.72(7)	177	1	96	0	12	0
824	7670{7670}	(0)	9	5363.72(8)	177	0	96	0	12	0
824	7670{7670}	(0)	9	5363.72(8)	177	1	96	0	12	0
825	7670{7670}	(0)	9	5363.72(9)	177	0	96	0	12	0
825	7670{7670}	(0)	9	5363.72(9)	177	1	96	0	12	0
826	7670{7670}	(0)	9	5363.72(10)	177	0	96	0	12	0
826	7674{7674}	(0)	9	5363.72(10)	177	1	96	0	12	0
827	7674{7674}	(0)	9	5363.72(11)	177	0	96	0	12	0
827	7674{7674}	(0)	9	5363.72(11)	177	1	96	0	12	0
828	7674{7674}	(0)	9	5363.72(12)	177	0	96	0	12	0
828	7674{7674}	(0)	9	5363.72(12)	177	1	96	0	12	0
829	7674{7674}	(0)	9	5363.72(13)	177	1	96	0	12	0
829	7701{7701}	(0)	9	5363.72(13)	177	2	96	0	12	0
830	7701{7701}	(0)	9	5363.72(14)	177	2	96	0	12	0
830	7732{7732}	(0)	9	5363.72(14)	177	3	96	0	12	0
831	7732{7732}	(0)	9	5363.72(15)	177	3	96	0	12	0
831	7758{7758}	(0)	9	5363.72(15)	177	4	96	0	12	0
832	7758{7758}	(0)	9	5363.72(16)	177	4	96	0	12	0
832	7788{7788}	(0)	9	5363.72(16)	177	5	96	0	12	0
833	7788{7788}	(0)	9	5363.72(17)	177	5	96	0	12	0
833	7813{7813}	(0)	9	5363.72(17)	177	6	96	0	12	0
834	7813{7813}	(0)	9	5363.72(18)	177	6	96	0	12	0
834	7844{7844}	(0)	9	5363.72(18)	177	7	96	0	12	0
835	7844{7844}	(0)	9	5363.72(19)	177	7	96	0	12	0
835	7875{7875}	(0)	9	5363.72(19)	177	8	96	0	12	0
836	7875{7875}	(0)	9	5363.72(20)	177	8	96	0	12	0
836	7907{7907}	(0)	9	5363.72(20)	177	9	96	0	12	0
837	7907{7907}	(0)	9	5363.72(21)	177	9	96	0	12	0
837	7937{7937}	(0)	9	5363.72(21)	177	10	96	0	12	0
837	7937{7937}	(0)	9	5363.72(21)	177	11	95	0	13	0
838	7937{7937}	(0)	9	5363.72(22)	177	0	95	0	13	0
838	7952{7952}	(0)	9	5363.72(22)	177	1	95	0	13	0
839	7952{7952}	(0)	9	5363.72(23)	177	0	95	0	13	0
839	7952{7952}	(0)	9	5363.72(23)	177	1	95	0	13	0
840	7952{7952}	(0)	9	5363.72(24)	177	0	95	0	13	0
840	7972{7972}	(0)	9	5363.72(24)	177	1	95	0	13	0
841	7972{7972}	(0)	9	5363.72(25)	177	0	95	0	13	0
841	7972{7972}	(0)	9	5363.72(25)	177	1	95	0	13	0
842	7972{7972}	(0)	9	5363.72(26)	177	0	95	0	13	0
842	7972{7972}	(0)	9	5363.72(26)	177	1	95	0	13	0
843	7972{7972}	(0)	9	5363.72(27)	177	0	95	0	13	0
843	7972{7972}	(0)	9	5363.72(27)	177	1	95	0	13	0
844	7972{7972}	(0)	9	5363.72(28)	177	0	95	0	13	0
844	7972{7972}	(0)	9	5363.72(28)	177	1	95	0	13	0
845	7972{7972}	(0)	9	5363.72(29)	177	0	95	0	13	0
